flight,time,wind_speed,wind_angle,battery_voltage,battery_current,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,velocity_x,velocity_y,velocity_z,angular_x,angular_y,angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,speed,payload,altitude,date,time_day,route
77,40.4,13.39999962,53,23.08656311,18.94112587,-79.78212696,40.45926665,296.0464583,-0.090357639,0.06207487,-0.583601594,0.804606378,-1.596103293,11.69196925,3.095345762,0.200070485,0.117346086,0.04958877,-2.776200689,-0.357462987,-8.341073593,12,0,25,6/11/2019,Manana,R1
78,152.6,4.400000095,30,22.27523422,21.04039383,-79.78276294,40.45899254,283.8860569,-0.018576514,-0.029420208,-0.606001794,0.794702053,-0.097076209,0.140409955,-1.2185848,-0.074768014,0.09463805,-0.191436172,0.179778748,0.833559621,-9.241082289,6,0,50,6/11/2019,Manana,R1
79,28.8,4.099999905,327,21.7343483,29.52493668,-79.78276255,40.45898232,293.2611319,0.01470067,-0.031127151,-0.7711128,0.635767341,0.008522475,0.208009286,3.006075417,0.033091161,-0.015517433,0.028246429,0.2663607,0.15525591,-9.915597206,10,0,50,6/11/2019,Manana,R1
80,94.3,15.80000019,6,20.58371353,31.83890343,-79.7825874,40.45850294,318.4526254,-0.16693601,-0.031214042,0.159235641,0.97252363,-0.143050727,8.661811713,3.111270628,-0.069899648,0.179110736,-0.361007392,-3.444768111,0.015585351,-9.841614726,12,0,50,6/11/2019,Manana,R1
81,87.8,6.199999809,240,22.00854683,19.22739029,-79.78163308,40.45915013,341.2710428,-0.029453445,-0.010803578,0.964553297,0.262016624,-0.53563849,5.625784602,-0.241033405,0.100811891,-0.12420363,0.168079793,-0.538492492,-0.751475531,-9.650507253,6,0,75,6/11/2019,Manana,R1
82,23.41,4,53,21.84202385,23.56905746,-79.78276681,40.45896512,277.9598936,-0.016987061,-0.013390534,-0.867622018,0.496753752,0.014695371,0.217322661,3.094890014,-0.024907442,0.018867038,-0.059593853,0.013308181,0.432496651,-9.573309973,8,0,75,6/11/2019,Manana,R1
83,38.69,6.900000095,3,20.440979,28.22084618,-79.78277286,40.45896013,315.5326124,-0.040330056,-0.051000591,-0.80381453,0.591315985,0.23670783,0.052675366,2.472614677,-0.114195339,0.03787243,0.003505127,0.347668024,1.220932396,-9.937270496,12,0,75,6/11/2019,Manana,R1
84,45.2,8.399999619,353,22.4467659,29.82710457,-79.78277763,40.45896364,341.9860378,-0.035991948,-0.077660501,-0.773570657,0.627902806,0.536643664,0.236693071,2.411830818,0.177085996,0.144622251,0.009302046,0.450766459,1.617976757,-9.551168906,6,0,100,6/11/2019,Manana,R1
85,62.9,4.400000095,344,22.40670013,23.4895401,-79.78275716,40.45898529,307.4924683,-0.024542658,-0.031236442,-0.814607024,0.578651309,0.272369839,0.032839304,2.901575364,0.276980788,0.033860888,-0.078008622,0.35819177,0.467398499,-9.432621287,10,0,100,6/11/2019,Manana,R1
86,178.7,3.099999905,152,21.19346237,20.83364677,-79.78278766,40.4590121,273.0573916,0.008272252,0.014929534,-0.704323769,0.709673703,0.015008353,0.195348417,-0.897723484,-0.040984679,0.148583353,-0.087991267,0.001082155,-0.222188786,-9.777662559,12,0,100,6/11/2019,Manana,R1
